data_source,crime_id,atm_id,hour_of_day,day_of_week,amount,distance_from_crime,atm_historical_risk,txns_last_1h,txns_last_6h,nearby_crime_density,withdrawal_frequency,is_withdrawal_location
SYNTHETIC,SYN_CRM_0001,SYN_ATM_0001,17,0,109400.0,0.44,0.46,11,38,8.7,54.1,1
SYNTHETIC,SYN_CRM_0001,SYN_ATM_0002,17,0,109400.0,9.92,0.27,1,5,2.8,11.1,0
SYNTHETIC,SYN_CRM_0001,SYN_ATM_0003,17,0,109400.0,7.21,0.38,2,16,2.7,21.7,0
SYNTHETIC,SYN_CRM_0001,SYN_ATM_0004,17,0,109400.0,16.16,0.4,0,2,2.6,9.4,0
SYNTHETIC,SYN_CRM_0002,SYN_ATM_0005,15,3,7300.0,1.33,0.17,2,7,2.6,8.3,0
SYNTHETIC,SYN_CRM_0002,SYN_ATM_0006,15,3,7300.0,10.62,0.15,1,7,1.0,10.0,0
SYNTHETIC,SYN_CRM_0002,SYN_ATM_0007,15,3,7300.0,2.03,0.64,8,29,5.8,42.1,1
SYNTHETIC,SYN_CRM_0002,SYN_ATM_0008,15,3,7300.0,3.61,0.27,2,5,1.9,16.2,0
SYNTHETIC,SYN_CRM_0003,SYN_ATM_0009,9,0,128100.0,3.0,0.22,1,9,1.3,14.6,0
SYNTHETIC,SYN_CRM_0003,SYN_ATM_0010,9,0,128100.0,2.42,0.09,0,9,3.1,10.5,0
SYNTHETIC,SYN_CRM_0003,SYN_ATM_0011,9,0,128100.0,0.1,0.73,8,36,7.6,54.3,1
SYNTHETIC,SYN_CRM_0003,SYN_ATM_0012,9,0,128100.0,11.19,0.45,5,27,3.2,44.1,0
SYNTHETIC,SYN_CRM_0004,SYN_ATM_0013,18,0,144400.0,6.27,0.27,1,6,3.4,8.2,0
SYNTHETIC,SYN_CRM_0004,SYN_ATM_0014,18,0,144400.0,6.26,0.44,2,8,2.4,11.4,0
SYNTHETIC,SYN_CRM_0004,SYN_ATM_0015,18,0,144400.0,1.17,0.55,5,33,7.3,37.5,1
SYNTHETIC,SYN_CRM_0004,SYN_ATM_0016,18,0,144400.0,4.5,0.53,3,14,1.5,26.5,0
SYNTHETIC,SYN_CRM_0005,SYN_ATM_0017,22,0,177900.0,10.58,0.73,5,14,5.1,31.5,0
SYNTHETIC,SYN_CRM_0005,SYN_ATM_0018,22,0,177900.0,4.15,0.38,2,8,1.3,17.9,0
SYNTHETIC,SYN_CRM_0005,SYN_ATM_0019,22,0,177900.0,10.21,0.49,6,28,4.2,39.8,0
SYNTHETIC,SYN_CRM_0005,SYN_ATM_0020,22,0,177900.0,10.04,0.21,2,7,1.3,10.6,0
SYNTHETIC,SYN_CRM_0006,SYN_ATM_0021,15,2,105700.0,6.28,0.24,2,5,2.7,13.7,0
SYNTHETIC,SYN_CRM_0006,SYN_ATM_0022,15,2,105700.0,12.11,0.13,3,10,0.5,18.1,0
